DCP,DNCP,OPCP,HPCP,LPCP,CPCP,ACPCP,VTCP,MPN5P,calculated_targets_LPN10PVCPCPR,calculated_targets_MPN10PVCPCPR,calculated_targets_HPN10PVCPCPR,calculated_features_DNCP,WDCP,MDCP,OPCPLE,HPCPLE,LPCPLE,CPCPLE,OPCPRCP,HPCPRCP,LPCPRCP
10/19/2010,1.346667,1.360667,1.333333,1.336667,1.336667,3678000,0,1.38133325,0.999500998,1.048628043,1.134663308,40470,3,19,0.297632651,0.307975021,0.287681822,0.290179202,1.007481295,1.017955108,0.997505736
10/20/2010,1.344,1.379333,1.336,1.376667,1.376667,4687500,0,1.39,0.990314288,1.024212827,1.101694891,40471,4,20,0.295650242,0.321600049,0.289680075,0.31966536,0.97627095,1.001936561,0.970459813
10/21/2010,1.374,1.396667,1.363333,1.383333,1.383333,6256500,0,1.397333,0.988433732,1.025060578,1.220723427,40472,5,21,0.317726194,0.334088684,0.309932437,0.324495805,0.993253251,1.009639038,0.985542165
10/22/2010,1.378667,1.395333,1.37,1.381333,1.381333,2416500,0,1.409,0.989864862,1.032818661,1.222490884,40473,6,22,0.32111709,0.333133096,0.31481074,0.323048975,0.99806998,1.010135138,0.991795606
10/25/2010,1.396,1.398667,1.382,1.39,1.39,1777500,0,1.420667,0.983692806,1.039748112,1.214868345,40476,2,25,0.333611004,0.33551964,0.323531725,0.329303747,1.004316547,1.006235252,0.994244604
10/26/2010,1.386667,1.458,1.367333,1.424,1.424,9913500,0,1.425333,0.966760534,1.022998771,1.20271559,40477,3,26,0.326903026,0.377065634,0.312862127,0.353469813,0.973783006,1.023876404,0.960205758
10/27/2010,1.416667,1.425333,1.376667,1.4,1.4,5347500,0,1.431,0.998095,1.073809643,1.427142857,40478,4,27,0.34830693,0.354405471,0.31966536,0.336472237,1.011905,1.018095,0.983333571
10/28/2010,1.426,1.433333,1.397333,1.412667,1.412667,3363000,0,1.451333,0.99339264,1.134497019,1.414346056,40479,5,28,0.354873322,0.360002501,0.33456542,0.345479407,1.009438176,1.014629067,0.989145354
10/29/2010,1.409333,1.456667,1.403333,1.456,1.456,4209000,0,1.462667,0.96382761,1.121794729,1.396519918,40480,6,29,0.343116543,0.376150949,0.338850121,0.37569295,0.967948489,1.000458104,0.96382761
11/1/2010,1.462667,1.516667,1.420667,1.427333,1.427333,6837000,0,1.581333,0.983185423,1.162307604,1.538533755,40483,2,1,0.380261482,0.416515164,0.35112648,0.355807668,1.02475526,1.062588058,0.995329751
11/2/2010,1.445333,1.458667,1.403333,1.416667,1.416667,4837500,0,1.633333,0.995764707,1.184235251,1.550117282,40484,3,2,0.368339745,0.377523005,0.338850121,0.34830693,1.020234819,1.029647052,0.990587767
11/3/2010,1.418667,1.5,1.410667,1.451333,1.451333,5589000,0,1.642,1.017455677,1.288700112,1.513091758,40485,4,3,0.349717698,0.405465108,0.344062642,0.372482444,0.977492416,1.033532621,0.971980242
11/4/2010,1.506667,1.688667,1.476667,1.66,1.66,28110000,0,1.664667,0.952610241,1.148795181,1.322891566,40486,5,4,0.409899926,0.52393946,0.389787521,0.506817602,0.907630723,1.017269277,0.889558434
11/5/2010,1.658,1.664667,1.581333,1.629333,1.629333,15165000,0,1.7976665,0.983224424,1.203969047,1.347790783,40487,6,5,0.505612057,0.509625103,0.458268162,0.488170729,1.017594316,1.021686175,0.970540092
11/8/2010,1.633333,1.666667,1.602,1.665333,1.665333,7642500,0,1.8845,0.962770209,1.195556684,1.339071525,40490,2,8,0.490622712,0.510825824,0.471252849,0.510025103,0.980784624,1.000801041,0.961969768
11/9/2010,1.666667,1.712667,1.603333,1.642,1.642,14346000,0,1.957333,0.976451279,1.225334957,1.448640073,40491,3,9,0.510825824,0.538051805,0.472084588,0.495915011,1.015022533,1.04303715,0.976451279
11/10/2010,1.632,1.998,1.603333,1.957333,1.957333,45907500,0,1.9841665,0.930858469,1.042660344,1.225136448,40492,4,10,0.489806257,0.69214668,0.472084588,0.671582832,0.833787608,1.020776741,0.819141659
11/11/2010,1.906667,1.94,1.822,1.869333,1.869333,29179500,0,2.00816675,1.0010699,1.10538545,1.2838804,40493,5,11,0.645356692,0.662687973,0.599934799,0.625581683,1.01997183,1.037803323,0.974679204
11/12/2010,1.883333,2.033333,1.871333,1.989333,1.989333,40936500,0,2.014667,0.952413196,1.05680321,1.206434519,40494,6,12,0.633043079,0.709676319,0.626651011,0.687799407,0.946715809,1.022117966,0.940683636
11/15/2010,2.014667,2.196,2.014667,2.053333,2.053333,39343500,0,2.037,0.922727585,1.081493601,1.168831359,40497,2,15,0.700453921,0.786637524,0.700453921,0.719464327,0.981169153,1.069480693,0.981169153
11/16/2010,2.066667,2.093333,1.894667,1.978,1.978,20214000,0,2.05,0.964273509,1.132288423,1.227502528,40498,3,16,0.725937165,0.738757533,0.639043097,0.682086233,1.044826593,1.058307887,0.957870071
11/17/2010,2.013333,2.05,1.907333,1.966,1.966,11250000,0,2.146,0.980671414,1.151958227,1.234994914,40499,4,17,0.699791558,0.717839793,0.645705931,0.676001022,1.024075788,1.042726348,0.970159207
11/18/2010,2.044667,2.049333,1.928,1.992667,1.992667,14341500,0,2.26216675,0.993643193,1.136542069,1.218467511,40500,5,18,0.71523494,0.717514374,0.656483196,0.689473942,1.02609568,1.028437265,0.967547513
11/19/2010,2.010667,2.091333,1.98,2.066,2.066,17257500,0,2.316667,0.953856244,1.096200327,1.175217812,40501,6,19,0.698466508,0.737801662,0.683096845,0.725614371,0.973217328,1.012261859,0.958373669
11/22/2010,2.104667,2.23,2.1,2.226667,2.226667,22945500,0,2.35066675,0.885029957,1.017103085,1.090418998,40504,2,22,0.74415726,0.802001585,0.741937345,0.800505849,0.945209589,1.001496856,0.943113631
11/23/2010,2.219333,2.378667,2.146,2.304667,2.304667,23667000,0,2.351333,0.855076677,0.967023219,1.053514456,40505,3,23,0.7972067,0.866540247,0.763605644,0.834936197,0.962973393,1.03210876,0.931154045
11/24/2010,2.351333,2.398,2.288667,2.364667,2.364667,21375000,0,2.316667,0.833380345,0.916267068,1.026783052,40506,4,24,0.854982401,0.874635057,0.827969552,0.860637209,0.994361151,1.014096277,0.967860168
11/26/2010,2.373333,2.4,2.316667,2.354667,2.354667,5259000,0,2.267333,0.836919615,0.916194732,1.031143682,40508,6,26,0.864295296,0.875468737,0.840129515,0.856399316,1.007927236,1.019252404,0.983861837
11/29/2010,2.360667,2.396667,2.222,2.288667,2.288667,17184000,0,2.19766675,0.861054492,0.933585795,1.060879543,40511,2,29,0.858944206,0.874079022,0.798407691,0.827969552,1.03145936,1.047189041,0.970870817
11/30/2010,2.249333,2.355333,2.227333,2.355333,2.355333,33339000,0,2.11033325,0.785734756,0.895910101,1.030852113,40512,3,30,0.810633728,0.856682119,0.800804906,0.856682119,0.954995748,1,0.945655243
12/1/2010,2.391333,2.428,2.23,2.29,2.29,19488000,0,2.104,0.808151528,0.917175983,0.998544541,40513,4,1,0.871850951,0.887067873,0.802001585,0.828551818,1.044250218,1.060262009,0.973799127
12/2/2010,2.267333,2.286667,2.08,2.156667,2.156667,30105000,0,2.11,0.858114396,0.962209975,1.017619781,40514,5,2,0.818604251,0.827095299,0.732367894,0.768563974,1.051313439,1.060278198,0.964451165
12/3/2010,2.134,2.15,2.058,2.099333,2.099333,17401500,0,2.11,0.881549997,0.988488487,1.045411566,40515,6,3,0.757998153,0.765467842,0.721734637,0.741619675,1.01651334,1.024134809,0.980311366
12/6/2010,2.09,2.096667,1.970667,2.020667,2.020667,19116000,0,2.118,0.915869364,1.032662235,1.08611018,40518,2,6,0.737164066,0.740348941,0.678372064,0.703427655,1.034311938,1.037611343,0.975255695
12/7/2010,2.032667,2.16,2.003333,2.104,2.104,19669500,0,2.11,0.879594582,0.998732414,1.043092681,40519,3,7,0.709348724,0.770108222,0.694812293,0.743840295,0.966096483,1.02661597,0.952154468
12/8/2010,2.165333,2.166,2.101333,2.158,2.158,9900000,0,2.07266675,0.857584337,0.974050046,1.016991196,40520,4,8,0.77257416,0.772882149,0.742571905,0.769181867,1.003398054,1.003707136,0.973740964
12/9/2010,2.167333,2.181333,2.11,2.136667,2.136667,6090000,0,2.026,0.866146667,0.975350862,1.027145082,40521,5,9,0.773497379,0.779936158,0.746687947,0.759247138,1.01435226,1.020904521,0.987519347
12/10/2010,2.136667,2.194667,2.075333,2.101333,2.101333,6441000,0,2.026,0.795051046,0.981083674,1.042513014,40522,6,10,0.759247138,0.786030327,0.730121623,0.742571905,1.016815041,1.044416568,0.987626902
12/13/2010,2.109333,2.118,2.026667,2.036667,2.036667,6156000,0,2.026,0.818330635,0.999999755,1.075613736,40525,2,13,0.746371784,0.750472247,0.706392572,0.711314648,1.035678881,1.039934363,0.995090017
12/14/2010,2.019333,2.026,1.850667,1.902,1.902,26485500,0,2.084,0.876270768,1.069970163,1.151770242,40526,3,14,0.702767259,0.706063406,0.615546115,0.642905964,1.061689274,1.065194532,0.973011041
12/15/2010,1.911333,1.998,1.902,1.973333,1.973333,11143500,0,2.1131665,0.844594906,1.031292362,1.110135492,40527,4,15,0.647800904,0.69214668,0.642905964,0.679723991,0.968581076,1.012500171,0.963851514
12/16/2010,2,2.060667,1.976667,2.054,2.054,11851500,0,2.113333,0.811425024,0.949367089,1.066537001,40528,5,16,0.693147181,0.723029717,0.681412093,0.719789112,0.973709834,1.003245862,0.962350049
12/17/2010,2.089333,2.102667,2.047333,2.090667,2.090667,12195000,0,2.113333,0.79719391,0.883769151,1.047831625,40529,6,17,0.736844876,0.743206539,0.716537971,0.737483154,0.999361926,1.005739795,0.979272644
12/20/2010,2.109333,2.146,2.084,2.113333,2.113333,7851000,0,2.0625,0.788643815,0.852208336,1.036593381,40532,2,20,0.746371784,0.763605644,0.734289124,0.748266322,0.998107255,1.015457573,0.986120029
12/21/2010,2.12,2.179333,2.114,2.150667,2.150667,11665500,0,1.867333,0.774953538,0.831253804,1.018598881,40533,3,21,0.751416089,0.779018867,0.748581887,0.765778027,0.985740703,1.013328888,0.982950871
12/22/2010,2.15,2.190667,2.113333,2.175333,2.175333,12499500,0,1.80800025,0.766166375,0.821521636,0.995403003,40534,4,22,0.765467842,0.784206064,0.748266322,0.777181756,0.988354427,1.007049036,0.971498617
12/23/2010,2.084,2.165333,1.994667,2.006,2.006,23289000,0,1.7825,0.830840977,0.890868956,0.949817049,40535,5,23,0.734289124,0.77257416,0.690477119,0.69614269,1.03888335,1.079428215,0.994350449
12/27/2010,1.868,1.905333,1.670667,1.703333,1.703333,139528500,0,1.775333,0.978473968,1.050293748,1.122505112,40539,2,27,0.62486834,0.644656796,0.513222948,0.53258692,1.096673404,1.118591021,0.980822305
12/28/2010,1.723333,1.783333,1.666667,1.760667,1.760667,60844500,0,1.778,0.980689137,1.021582446,1.087088018,40540,3,28,0.544260206,0.578484085,0.510825824,0.565692715,0.978795536,1.01287353,0.946611142
12/29/2010,1.802,1.867333,1.766667,1.848667,1.848667,49788000,0,1.775333,0.934006503,0.972231884,1.035340599,40541,4,29,0.588897159,0.62451121,0.569094721,0.614464839,0.974756406,1.010097005,0.955643715
12/30/2010,1.846667,1.86,1.758667,1.766667,1.766667,30616500,0,1.778,0.977358495,1.017169619,1.083396022,40542,5,30,0.613382393,0.620576488,0.564556136,0.569094721,1.04528301,1.05282999,0.995471699
12/31/2010,1.771333,1.816667,1.766667,1.775333,1.775333,21268500,0,1.788667,0.961697327,1.011453626,1.0781076,40543,6,31,0.57173237,0.597003503,0.569094721,0.573988011,0.997746902,1.023282393,0.995118662
1/3/2011,1.789333,1.8,1.726667,1.774667,1.774667,19245000,0,1.8253335,0.929751891,1.010893875,1.078512194,40546,2,3,0.581842925,0.587786665,0.546192961,0.5736128,1.008264086,1.014274791,0.972952672
1/4/2011,1.777333,1.796667,1.734667,1.778,1.778,17811000,0,1.86,0.890513498,1.007311586,1.076490439,40547,3,4,0.575113926,0.585933282,0.550815464,0.575489137,0.999624859,1.010498875,0.975628234
1/5/2011,1.765333,1.793333,1.746,1.788667,1.788667,21700500,0,1.86,0.833767828,0.999627097,1.070070617,40548,4,5,0.568339341,0.5840759,0.557327457,0.58147065,0.986954531,1.002608647,0.976145923
1/6/2011,1.788667,1.866667,1.787333,1.858667,1.858667,30918000,0,1.853,0.802366965,0.939382902,1.02977026,40549,5,6,0.58147065,0.624154488,0.580724565,0.619859564,0.962338601,1.00430416,0.961620882
1/7/2011,1.866667,1.905333,1.86,1.882667,1.882667,33718500,0,1.797333,0.792138493,0.907931674,1.016642879,40550,6,7,0.624154488,0.644656796,0.620576488,0.632689389,0.991501418,1.012039304,0.987960165
1/10/2011,1.878,1.912,1.87,1.896667,1.896667,20140500,0,1.77183325,0.786291426,0.890114145,1.009138663,40553,2,10,0.630207381,0.648149815,0.625938431,0.640098135,0.990157998,1.008084181,0.985940073
1/11/2011,1.906,1.914,1.794667,1.797333,1.797333,25653000,0,1.73483325,0.829747743,0.918026876,1.016320849,40554,3,11,0.645006805,0.649195293,0.584819489,0.586303899,1.060460137,1.064911177,0.998516691
1/12/2011,1.800667,1.826667,1.768,1.797333,1.797333,14466000,0,1.698667,0.829747743,0.917099391,1.000371105,40555,4,12,0.588157152,0.602492995,0.569848964,0.586303899,1.001854971,1.016320849,0.983679708
1/13/2011,1.797333,1.798,1.744,1.748,1.748,10854000,0,1.642,0.853165332,0.939740561,1.013729977,40556,5,13,0.586303899,0.586674936,0.556181325,0.558472277,1.02822254,1.028604119,0.99771167
1/14/2011,1.743333,1.772,1.707333,1.716667,1.716667,17880000,0,1.602,0.868737501,0.950291175,0.995727768,40557,6,14,0.555798798,0.572108852,0.534932504,0.54038462,1.015533589,1.032232809,0.99456272
1/18/2011,1.698667,1.709333,1.65,1.709333,1.709333,24325500,0,1.601333,0.872464874,0.940766588,0.993369929,40561,3,18,0.529843826,0.536103236,0.500775288,0.536103236,0.993760139,1,0.9652888
1/19/2011,1.684667,1.698,1.583333,1.602,1.602,35572500,0,1.602,0.930919476,1.003329276,1.043695381,40562,4,19,0.521567918,0.529451088,0.459532119,0.471252849,1.051602372,1.059925094,0.98834769
1/20/2011,1.602,1.63,1.491333,1.508,1.508,34198500,0,1.637333,1.00397878,1.065429045,1.108753316,40563,5,20,0.471252849,0.488580015,0.399670351,0.41078427,1.062334218,1.080901857,0.988947613
1/21/2011,1.541333,1.572667,1.514,1.536,1.536,18255000,0,1.643333,1.004774089,1.046007161,1.088541667,40564,6,21,0.432647626,0.452772904,0.414755155,0.429181635,1.003472005,1.023871745,0.985677083
1/24/2011,1.568667,1.654,1.548667,1.632667,1.632667,24676500,0,1.64066675,0.934258486,0.981420584,1.024091257,40567,2,24,0.450226214,0.503196597,0.437394561,0.490214874,0.960800335,1.013066351,0.948550439
1/25/2011,1.643333,1.659333,1.601333,1.645333,1.645333,19072500,0,1.6253335,0.927066436,0.972397001,1.023095629,40568,3,25,0.496726497,0.506415714,0.470836407,0.497942795,0.998784441,1.008508916,0.973257693
1/26/2011,1.647333,1.658667,1.606667,1.65,1.65,16198500,0,1.60816675,0.920807879,0.966666667,1.020201818,40569,4,26,0.499157617,0.506014268,0.474161847,0.500775288,0.998383636,1.005252727,0.973737576
1/27/2011,1.649333,1.672,1.635333,1.661333,1.661333,13435500,0,1.59916675,0.914526468,0.951444713,1.013242378,40570,5,27,0.500370964,0.514020515,0.491846453,0.507620292,0.992776885,1.006420748,0.984349917
1/28/2011,1.658667,1.658667,1.583333,1.600667,1.600667,15726000,0,1.593333,0.949187432,0.984068751,1.051644721,40571,6,28,0.506014268,0.506014268,0.459532119,0.470420417,1.036234895,1.036234895,0.989170764
1/31/2011,1.603333,1.608,1.566667,1.606667,1.606667,12454500,0,1.575333,0.94564275,0.977541161,1.047717417,40574,2,31,0.472084588,0.474991171,0.448950433,0.474161847,0.997924897,1.000829668,0.97510374
2/1/2011,1.620667,1.648667,1.569333,1.594,1.594,10617000,0,1.575333,0.943538269,0.97736308,1.056043287,40575,3,1,0.482837793,0.499967083,0.450650688,0.46624658,1.016729611,1.034295483,0.984525094
2/2/2011,1.610667,1.612,1.578,1.596,1.596,8542500,0,1.564,0.94235589,0.971595865,1.054719925,40576,4,2,0.476648379,0.477475644,0.456158222,0.467500499,1.00918985,1.010025063,0.988721805
2/3/2011,1.588,1.593333,1.543333,1.575333,1.575333,7680000,0,1.550667,0.95471878,0.985135682,1.078713516,40577,5,3,0.462475363,0.465828049,0.433944363,0.454466679,1.00804084,1.011426156,0.979686834
2/4/2011,1.562667,1.578,1.548,1.564,1.564,8160000,0,1.550667,0.961636829,0.991475064,1.086530051,40578,6,4,0.446393977,0.456158222,0.436963775,0.447246642,0.999147698,1.008951407,0.989769821
2/7/2011,1.550667,1.550667,1.525333,1.538,1.538,13426500,0,1.5531665,0.944083225,1.007802341,1.104897919,40581,2,7,0.438685161,0.438685161,0.422212747,0.430482871,1.008236021,1.008236021,0.991763979
2/8/2011,1.585333,1.683333,1.533333,1.632667,1.632667,52573500,0,1.5488335,0.861984103,0.947937638,1.040832576,40582,3,8,0.46079448,0.520775757,0.427443797,0.490214874,0.971008173,1.03103266,0.939158444
2/9/2011,1.608667,1.612,1.519333,1.547333,1.547333,39534000,0,1.5488335,0.909521738,0.994830137,1.098233541,40583,4,9,0.475405886,0.477475644,0.418271423,0.436532804,1.039638526,1.041792555,0.981904348
2/10/2011,1.550667,1.576,1.520667,1.548,1.548,12541500,0,1.5531665,0.909129845,0.993755491,1.097760336,40584,5,10,0.438685161,0.454889991,0.419149054,0.436963775,1.001722868,1.018087855,0.982343023
2/11/2011,1.55,1.583333,1.529333,1.55,1.55,9517500,0,1.555333,0.907956774,0.993118387,1.096343871,40585,6,11,0.438254931,0.459532119,0.424831693,0.438254931,1,1.021505161,0.986666452
2/14/2011,1.576,1.609333,1.536667,1.538667,1.538667,19246500,0,1.544667,0.914644299,1.0041159,1.104418955,40588,2,14,0.454889991,0.475819807,0.429615785,0.430916457,1.02426321,1.045926766,0.998700174
2/15/2011,1.534,1.544667,1.504,1.522667,1.522667,14305500,0,1.54,0.924255271,1.028677643,1.116024055,40589,3,15,0.427878703,0.434808353,0.408128226,0.420463403,1.007442862,1.014448333,0.987740589
2/16/2011,1.54,1.664667,1.538,1.648667,1.648667,61726500,0,1.505333,0.853618711,0.953295299,1.030731494,40590,4,16,0.431782416,0.509625103,0.430482871,0.499967083,0.934087963,1.00970481,0.932874862
2/17/2011,1.642,1.699333,1.57,1.573333,1.573333,39276000,0,1.505333,0.894491503,1.002330721,1.058898529,40591,5,17,0.495915011,0.530235821,0.451075619,0.453196299,1.043644289,1.080084763,0.997881567
2/18/2011,1.555333,1.566,1.530667,1.545333,1.545333,35560500,0,1.505333,0.910698859,1.027340709,1.095772238,40592,6,18,0.441689671,0.448524598,0.425703588,0.435239421,1.006471097,1.013373817,0.990509489
2/22/2011,1.525333,1.533333,1.452,1.458,1.458,30969000,0,1.5493335,0.965248971,1.096536351,1.161408093,40596,3,22,0.422212747,0.427443797,0.372941916,0.377065634,1.046181756,1.051668724,0.995884774
2/23/2011,1.478667,1.5,1.407333,1.455333,1.455333,24084000,0,1.582667,0.984883185,1.103069538,1.163536455,40597,4,23,0.391141006,0.405465108,0.341696424,0.37523474,1.016033444,1.030691945,0.967017858
2/24/2011,1.452,1.505333,1.433333,1.502,1.502,15829500,0,1.596,1.007101864,1.077452397,1.127385486,40598,5,24,0.372941916,0.409014136,0.360002501,0.406797553,0.966711052,1.002219041,0.954282956
2/25/2011,1.520667,1.59,1.512667,1.574,1.574,20194500,0,1.603333,0.995341169,1.028166137,1.075815121,40599,6,25,0.419149054,0.463734016,0.413874318,0.45362015,0.966116264,1.010165184,0.961033672
2/28/2011,1.582667,1.606667,1.566667,1.592667,1.592667,15768000,0,1.624,0.971117628,1.016115421,1.063205931,40602,2,28,0.459111399,0.474161847,0.448950433,0.46540997,0.993721224,1.008790287,0.983675181
3/1/2011,1.603333,1.621333,1.58,1.596,1.596,16596000,0,1.6366665,0.910609649,1.013366855,1.060985589,40603,3,1,0.472084588,0.48324865,0.457424847,0.467500499,1.004594612,1.015872807,0.989974937
3/2/2011,1.588,1.618667,1.582,1.601333,1.601333,9949500,0,1.644,0.907577,1.007858375,1.057452135,40604,4,2,0.462475363,0.481602971,0.458689869,0.470836407,0.991673812,1.010824732,0.987926933
3/3/2011,1.632,1.652667,1.604,1.624,1.624,9603000,0,1.644,0.894909483,0.985221675,1.042692734,40605,5,3,0.489806257,0.502390347,0.472500509,0.484892242,1.004926108,1.017652094,0.987684729
3/4/2011,1.632,1.666,1.585333,1.663333,1.663333,23701500,0,1.637,0.87374747,0.952906003,1.018036076,40606,6,4,0.489806257,0.510425544,0.46079448,0.508823421,0.981162521,1.001603407,0.953106203
3/7/2011,1.662,1.693333,1.646667,1.662667,1.662667,30504000,0,1.61116675,0.874097459,0.932237183,1.002004611,40609,2,7,0.508021696,0.526698776,0.498753245,0.50842294,0.999598837,1.018443862,0.990376907
3/8/2011,1.64,1.664,1.6,1.644,1.644,20998500,0,1.59500025,0.884022506,0.937550791,1.013381995,40610,3,8,0.494696242,0.509224342,0.470003629,0.497132297,0.99756691,1.01216545,0.97323601
3/9/2011,1.644,1.666,1.618,1.648,1.648,13872000,0,1.568667,0.880663228,0.928802791,0.990695995,40611,4,9,0.497132297,0.510425544,0.481190819,0.499562431,0.997572816,1.01092233,0.981796117
3/10/2011,1.629333,1.632667,1.582,1.600667,1.600667,15255000,0,1.546667,0.906705142,0.951738713,1.009995833,40612,5,10,0.488170729,0.490214874,0.458689869,0.470420417,1.017908784,1.019991666,0.988337987
3/11/2011,1.59,1.616667,1.568667,1.604667,1.604667,13962000,0,1.530667,0.904444972,0.944744299,0.997091608,40613,6,11,0.463734016,0.480366622,0.450226214,0.472916258,0.990859786,1.007478187,0.977565439
3/14/2011,1.588,1.6,1.546667,1.55,1.55,17490000,0,1.527,0.936343871,0.976989032,1.012472903,40616,2,14,0.462475363,0.470003629,0.436102293,0.438254931,1.024516129,1.032258065,0.997849677
3/15/2011,1.48,1.530667,1.453333,1.53,1.53,19782000,0,1.524,0.94858366,0.99259281,1.045751634,40617,3,15,0.392042088,0.425703588,0.373859539,0.425267735,0.967320261,1.000435948,0.94989085
3/16/2011,1.524,1.55,1.512667,1.521333,1.521333,17545500,0,1.515333,0.95398772,1.000274266,1.073181874,40618,4,16,0.421338457,0.438254931,0.413874318,0.419586924,1.001753068,1.018843343,0.99430368
3/17/2011,1.549333,1.562,1.509333,1.520667,1.520667,13839000,0,1.49633325,0.954405534,1.004383932,1.258658207,40619,5,17,0.437824516,0.445967051,0.411667831,0.419149054,1.018850938,1.027180836,0.992546692
3/18/2011,1.546,1.546,1.500667,1.530667,1.530667,10318500,0,1.493333,0.948170307,1.001959522,1.250435268,40620,6,18,0.43567095,0.43567095,0.405909676,0.425703588,1.010017202,1.010017202,0.980400701
3/21/2011,1.536667,1.536667,1.502667,1.515333,1.515333,6175500,0,1.493333,0.957765059,1.021997475,1.263088707,40623,2,21,0.429615785,0.429615785,0.407241529,0.415635217,1.014078754,1.014078754,0.991641441
3/22/2011,1.515333,1.524,1.466667,1.479333,1.479333,8743500,0,1.503333,0.981072551,1.071203627,1.293826339,40624,3,22,0.415635217,0.421338457,0.38299248,0.391591311,1.024335292,1.030194013,0.991438033
3/23/2011,1.474,1.484667,1.451333,1.480667,1.480667,6342000,0,1.53399975,0.989643856,1.119315484,1.292660673,40625,4,23,0.387979794,0.395190505,0.372482444,0.392492662,0.9954973,1.002701485,0.980188658
3/24/2011,1.476,1.492,1.465333,1.488667,1.488667,6933000,0,1.569333,1.003134348,1.167095714,1.285713998,40626,5,24,0.389335726,0.400117502,0.38208252,0.397881089,0.991491045,1.002238916,0.984325574
3/25/2011,1.495333,1.533333,1.493333,1.516667,1.516667,8520000,0,1.6,0.991208354,1.164395348,1.261977745,40627,6,25,0.402348925,0.427443797,0.401010535,0.416515164,0.985933629,1.010988569,0.984614948
3/28/2011,1.513333,1.569333,1.503333,1.55,1.55,15871500,0,1.74816675,0.989677419,1.13957,1.23483871,40630,2,28,0.414314503,0.450650688,0.407684643,0.438254931,0.976343871,1.012472903,0.969892258
3/29/2011,1.553333,1.6,1.547333,1.594667,1.594667,11331000,0,1.77,0.961956321,1.107650375,1.200250585,40631,3,29,0.440402945,0.470003629,0.436532804,0.466664937,0.974079855,1.003344272,0.970317314
3/30/2011,1.607333,1.632667,1.534,1.580667,1.580667,18349500,0,1.777333,1.024883799,1.117460857,1.210881229,40632,4,30,0.474576284,0.490214874,0.427878703,0.45784691,1.016870093,1.032897505,0.970476387
